7866	Heep	3.486	28.56	       -3.571	 27.27		LH2	6.19009	48.784	 0	-1	 0	57.223		170.053		-2.007		31.699		1693980.0	0.9902			!
7867	Heep	3.486	28.56	       -3.571	-27.27		LH2	6.19009	64.379	 0	-1	 0	91.867		273.785		-3.146		48.652		1860733.0	0.9921			!
7868	Heep	3.486	28.56	       -3.571	-27.27		Dummy	6.19009	64.379	 0	-1	 0	91.867		273.785		-3.146		48.652		1860733.0	0.9921	

#      .........................................................Q2 = 3.0, W = 2.32, X = 0.40, low epsilon, theta(SHMS = 13.30 deg, centre) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7869	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	50.789	11	6	0	2.356		84.5		0.029		198.331		804747.0	0.9902			!JUNK
7870	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	50.789	11	6	0	2.356		84.5		0.029		198.331		804747.0	0.9902			!JUNK
7871	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	71.11	12	5	0	5.052		251.907		0.138		241.648		1942120.0	0.9833			!251
7872	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	70.483	12	5	0	4.567		227.608		0.125		234.072		1884232.0	0.9817			!236
7873	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	71.184	12	5	0	4.956		247.184		0.135		222.282		1784615.0	0.985			!217
7874	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	72.044	12	5	0	5.23		260.764		0.142		276.079	        2215118.0	0.985			!289
7875	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	69.472	12	5	0	4.292		213.834		0.118		221.651		1784567.0	0.9795			!239
7876	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	69.328	12	5	0	4.531		225.656		0.124		231.678		1863057.0	0.9838			!259
7877	Prod	3.486	13.28		2.185	-27.25		LH2	6.19009	68.27	12	5	0	4.5		224.139		0.122		222.27		1784359.0	0.9834			!231

#      .............................................................................................JUNK DATA.................................................................................................................
Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7878	Prod	3.486	16.28		2.185	-27.25		Dummy	6.19009	40.481	12	 5	 0	1.061		37.51		0.016		10.921		27159.0		0.9961			!JUNK
7879	Prod	3.486	13.28	       -2.185	 27.25		Dummy	6.19009 48.784	12	 5	 0	57.223		170.053		-2.007		31.699		1693980.0	0.9902			!JUNK
7880	Prod	3.486	13.28	       -2.185	 27.25		Dummy	6.19009 48.784	12	 5	 0	57.223		170.053		-2.007		31.699		1693980.0	0.9902			!JUNK
#      .............................................................................................JUNK DATA.................................................................................................................


#      .........................................................Q2 = 3.0, W = 2.32, X = 0.40, low epsilon, theta(SHMS = 16.30 deg, left) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7881	Prod	3.486	16.28		2.185	-27.25		Dummy	6.19009	41.023	6	3	0	1.06		37.445		0.016		55.618		1964349.0	0.9933			!Dummy Tgt
7882	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.254	11	7	0	4.513		90.191		0.064		209.186		755740.0	0.9886			!211
7883	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	71.226	11	7	0	5.017		100.322		0.071		257.166		924634.0	0.9908			!258
7884	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.846	11	7	0	4.987		99.731		0.07		243.507		876028.0	0.9886			!209
7885	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.713	11	7	0	4.059		81.108		0.059		267.212		972491.0	0.9907			!322
7886	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.194	11	7	0	4.944		98.862		0.07		266.44		961794.0	0.989			!365
7887	Prod	3.486	16.28		2.185	-27.25		LH2	6.19009	70.916	11	7	0	5.116		102.34		0.072		301.65		1087886.0	0.9882			!108
7888	Prod	3.486	16.28		2.185	-27.25		Dummy	6.19009	40.354	9	5	0	0.843		13.283		0.013		71.483		266078.0	0.9918			!Dummy Tgt

#      .........................................................Q2 = 2.115, W = 2.95, X = 0.21, low epsilon, theta(SHMS = 8.48 deg, left) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7891	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.939	12	8	0	12.613		250.769		0.296		252.502		2035395.0	0.9774			!56
7892	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.367	12	8	0	13.073		259.53		0.306		232.898		1873969.0	0.9754			!65
7893	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.866	12	8	0	13.792		274.016		0.324		226.929		1833370.0	0.9741			!46
7894	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.205	12	8	0	10.146		200.78		0.239		195.38		1583104.0	0.9757			!48
7895	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.997	12	8	0	12.441		246.442		0.292		214.419		1733104.0	0.9732			!43
7896	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.447	12	8	0	13.142		260.036		0.309		362.667		2935533.0	0.9754			!87
7897	Prod	4.983	8.48		0.888	-36.15		Dummy	6.19009	40.814	12	8	0	2.59		29.022		0.017		41.312		54413.0	        0.9921			!Dummy Tgt
7898	Prod	4.983	8.48		0.888	-36.15		Dummy	6.19009	40.092	10	6	0	2.291		25.642		0.016		87.38		344195.0	0.9945			!Dummy Tgt
7899	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.76	12	8	0	12.388		245.156		0.293		234.959		1908867.0	0.9737			!57
7900	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.712	12	8	0	13.547		268.005		0.32		260.56		2113461.0	0.9735			!61
7901	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.017	12	8	0	12.756		251.462		0.301		242.663		1972975.0				!57
7902	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.988	12	8	0	13.706		270.541		0.325		240.043		1959093.0	0.9793			!60
7903	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.977	12	8	0	13.59		267.882		0.321		239.039		1946958.0	0.9758			!44
7904	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.802	12	8	0	13.475		265.223		0.319		253.328		2069293.0	0.9741			!56
7905	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	69.007	12	8	0	9.618		188.614		0.228		181.337		1484614.0	0.9741			!35
7906	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.634	12	8	0	13.057		256.499		0.308		238.326		1945574.0	0.9737			!52
7907	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	70.202	12	8	0	12.354		242.504		0.293		219.531		1796199.0	0.9761			!51
7908	Prod	4.983	8.48		0.888	-36.15		LH2	6.19009	71.234	12	8	0	12.489		245.293		0.297		141.282		1160573.0				!36

#      .........................................................Q2 = 2.115, W = 2.95, X = 0.21, low epsilon, theta(SHMS = 6.2 deg, centre) ......................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7909	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.078	14	8	0	7.137		372.021		0.257		131.014		1318933.0	0.9683			!36
7910	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.493	14	8	0	7.441		387.48		0.267		55.047		553480.0	0.9693			!12
7911	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	38.997	14	8	0	5.379		279.932		0.195		77.354		779882.0	0.9644			!25
7912	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.777	14	8	0	3.132		161.658		0.115		28.683		299024.0	0.9629			!14
7913	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.611	14	8	0	5.448		285.22		0.199		76.601		773373.0	0.9626			!4
7914	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.368	14	8	0	6.615		345.438		0.237		117.79		1175875.0	0.9667			!26
7915	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	38.898	14	8	0	6.016		314.289		0.216		118.783		1187147.0	0.9639			!38
7916	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.076	14	8	0	7.537		395.633		0.271		135.726		1356375.0	0.9677			!33
7917	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.373	14	8	0	7.734		406.406		0.279		146.517		1465148.0	0.9596			!28
7918	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	38.441	14	8	0	5.733		299.037		0.206		27.966		279437.0	0.9698			!5
7919	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.065	13	7	0	6.611		347.052		0.239		142.475		1435737.0	0.966			!25
7920	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40.039	13	7	0	7.722		406.028		0.278		116.507		1169241.0	0.9742			!14
7921	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.579	13	7	0	7.933		418.54		0.287		182.834		1841042.0	0.9655			!39
7922	Prod	4.983	6.20		0.888	-36.15		Dummy	6.19009	48.985	13	7	0	1.068		37.965		0.018		23.781		51840.0		0.9872			!0
7923	Prod	4.983	6.20		0.888	-36.15		Dummy	6.19009	50.789	11	6	0	2.356		84.5		0.029		198.331		804747.0	0.9902			!0
7924	Prod	4.983	6.20		0.888	-36.15		Dummy	6.19009	51.767	11	6	0	2.626		94.329		0.031		100.607		405930.0	0.9901			!0
7925	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.81	13	7	0	7.854		413.675		0.284		170.95		1724492.0	0.9715			!33
7926	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	52.014	13	7	0	8.078		425.924		0.293		183.094		1845797.0	0.9645			!50
7927	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.272	13	7	0	7.77		408.819		0.281		143.944		1449917.0	0.9643			!43
7928	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	50.773	13	7	0	4.757		249.905		0.176		72.459		739111.0	0.9611			!19
7929	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	39.795	13	7	0	2.087		106.522		0.078		3.421		35039.0		0.9611		        !3 Junk run - no beam
7930	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	40	13	7	0	7.552		393.849		0.268		13.966		139498.0	0.9685			!2 BCM current reporting incorrectly. Analysis reports ~50 actually 40.
7931	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	50.557	13	7	0	7.781		405.786		0.273		175.929		1736654.0	0.9724			!37 current 40 uA
7932	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.692	13	7	0	7.834		412.628		0.284		171.455		1727261.0	0.9663			!32 Beam current actually 40 uA
7933	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.628	13	7	0	7.29		383.944		0.264		168.158		1694333.0	0.9644			!38 Beam current still 40 uA
7934	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.435	13	7	0	7.762		408.587		0.281		176.0		1770693.0	0.9624			!40 current 40 uA
7935	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.262	13	7	0	7.118		374.216		0.258		158.969		1602371.0	0.9644			!26 40 uA
7936	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.345	13	7	0	7.469		392.499		0.27		151.628		1527861.0	0.9684			!32 Current is 40uA
7937	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.324	13	7	0	6.755		354.462		0.245		164.136		1657065.0	0.9712			!37 40uA
7938	Prod	4.983	6.20		0.888	-36.15		LH2	6.19009	51.916	13	7	0	7.314		384.007		0.266		143.332		1451645.0	0.9626			!38 current 40 uA

#      .................................................................................8.2 GeV Setup, HEEP and LUMI Runs........................................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS2	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7947	Sieve	5.745	9.51		5.745	-12.97		C-1.5%	8.2	25.738	0	0	-1	1.459		10.688		0.999		10.611		1818717.0	0.9937			!

7948	Lumi	5.745	9.51		5.745	-12.97		C-1.5%	8.2	62.861	9	6	-1	29.904		246.941		1.672		53.547		1251383.0	0.9824			!
7949	Lumi	5.745	9.51		5.745	-12.97		C-1.5%	8.2	45.381	9	5	-1	21.25		175.023		1.366		40.461		1394540.0	0.9915			!
7950	Lumi	5.745	9.51		5.745	-12.97		C-1.5%	8.2	29.685	8	5	-1	13.985		113.89		1.14		24.702		1180153.0	0.9844			!
7951	Lumi	5.745	9.51		5.745	-12.97		C-1.5%	8.2	15.439	7	4	-1	7.116		54.655		1.031		11.651		1144477.0	0.9942			!
7952	Lumi	5.745	9.51		5.745	-12.97		C-1.5%	8.2	5.126	7	4	-1	3.011		18.696		1.003		3.924		451148.0	0.9935			!
7953	Lumi	5.745	9.51		5.745	-12.97		C-1.5%	8.2	72.783	7	4	-1	--		--		--		--		--		--			!JUNK
7954	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	64.625	10	7	-1	55.381		425.793		3.663		63.562		1359756.0	0.9864			!
7955	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	72.783	7	4	-1	--		--		--		--		--		--			!JUNK
7956	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	44.548	9	6	-1	30.666		236.832		2.05		18.359		777460.0	0.988			!
7957	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	48.787	9	6	-1	35.625		276.776		2.2		22.352		953327.0	0.9878			!
7958	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	29.99	9	6	-1	26.929		211.866		1.536		29.022		1290680.0	0.9905			!
7959	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	15.433	8	5	-1	12.772		98.311		1.118		13.994		1275890.0	0.9942			!
7960	Lumi	5.745	9.51		5.745	-12.97		LH2	8.2	5.155	6	3	-1	5.523		38.797		1.013		4.969		1788014.0	0.9776                  !
7961	Lumi	5.745	9.51		5.745	-12.97		Dummy	8.2	39.74	8	4	-1	12.248		105.379		1.112		38.051		1764204.0	0.9879                  !

7962	Heep	5.745	18.00		5.745	-18.00		LH2	8.2	67.636	3	1	-1	1.697		4.783		0.012		88.405		2020750.0	0.8325			!
7963	Heep	5.745	18.00		5.745	-18.00		Dummy	8.2	39.018	0	0	-1	0.241		0.685		0.01		26.39		717820.0	0.8468			!
7964	Heep	5.372	20.00		5.372	-20.00		LH2	8.2	69.549	2	0	-1	0.862		2.749		0.011		69.313		1391671.0	0.7475			!
7965	Heep	5.372	20.00		5.372	-20.00		Dummy	8.2	40.076	0	0	-1	0.172		0.53		0.01		44.703		607795.0	0.8379			!
7966	Heep	5.013	22.00		5.013	-22.00		LH2	8.2	68.343	1	0	-1	0.422		1.487		0.01		65.978		902953.0	0.7673			!
7967	Heep	5.013	22.00		5.013	-22.00		Dummy	8.2	38.336	0	0	-1	0.074		0.228		0.01		34.046		266508.0	0.8426			!
7968	Heep	4.672	24.00		4.672	-24.00		LH2	8.2	50.428	0	0	-1	0.071		0.254		0.01		55.835		779260.0	0.779			!
7969	Heep	4.672	24.00		4.672	-24.00		Dummy	8.2	39.553	0	0	-1	0.051		0.161		0.01		56.207		274829.0	0.8727			!
7970	Heep	4.352	26.00		4.352	-26.00		LH2	8.2	64.228	0	0	-1	0.097		0.389		0.01		166.325		1444668.0	0.7906			!
7971	Heep	4.352	26.00		4.352	-26.00		Dummy	8.2	39.66	0	0	-1	0.041		0.132		0.01		18.047		59658.0		0.8914			!
7972	Heep	4.352	26.00		4.352	-26.00		Dummy	8.2	40.364	0	0	-1	0.042		0.135		0.01		49.302		161712.0	0.8984			!
7973	JUNK	4.352	26.00		4.352	-26.00		JUNK	8.2	40.364	0	0	-1	0.042		0.135		0.01		49.302		161712.0	0.8984			!

#      .................................................................................8.2 GeV Setup, Heep Coin Data........................................................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS2	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7974	Heep	4.371	25.775		4.672	-24.00		LH2	8.186	70.515	0	0	0	0.116		1.685		0.014		107.824		5529194.0	0.9029			!
7975	Heep	4.371	25.775		4.672	-24.00		LH2	8.186	69.056	0	0	0	0.229		3.459		0.018		90.941		4651893.0	0.9054			!
7976	Heep	4.371	25.775		4.672	-24.00		LH2	8.186	69.42	0	0	0	0.221		3.346		0.018		213.164		10884746.0	0.8798			!
7977	Heep	4.371	25.775		4.672	-24.00		Dummy	8.186	40.213	0	0	0	0.055		0.775		0.01		42.505		972874.0	0.9676			!


#     .....................................................................8.2 GeV Setup, Physics Data, Q2 = 4.4, W = 2.74, x =0.40 and low epsilon .......................................................................

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
7978	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	64.794	13	6	0	2.451		171.798		0.063		214.524		751355.0	0.9798			!151
7979	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	68.145	13	6	0	2.881		202.598		0.074		240.132		837361.0	0.9775			!176
7980	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	67.691	13	6	0	2.885		202.924		0.074		214.37		747243.0	0.983			!160
7981	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	61.378	13	6	0	2.196		153.19		0.056		161.841		565471.0	0.9789			!120
7982	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	62.979	13	6	0	2.156		150.397		0.055		169.908		593298.0	0.9817			!130
7983	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	62.802	13	6	0	2.501		174.203		0.062		187.538		647141.0	0.9811			!132
7984	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	58.915	13	6	0	1.906		132.183		0.049		143.949		503333.0	0.983			!121
7985	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	59.324	13	6	0	1.175		81.274		0.034		162.07		591609.0	0.9825			!119
7986	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	61.473	13	6	0	2.162		150.24		0.054		163.603		567794.0	0.981			!131
7987	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	60.189	13	6	0	2.043		141.637		0.052		158.75		551533.0	0.9819			!111
7988	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	65.335	13	6	0	0.686		47.379		0.024		76.21		303951.0	0.9832			!61 no beam for large fraction of the time
7989	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	61.708	13	6	0	2.24		155.51		0.056		135.083		467589.0	0.9832			!93 fairly unstable beam
7990	Prod	5.389	10.005		2.328	-27.77		Dummy	8.210	39.57	10	4	0	0.559		21.729		0.012		50.669		210912.0	0.9920			!
7991	Prod	5.389	10.005		2.328	-27.77		Dummy	8.210	39.78	10	4	0	0.182		7.257		0.011		11.696		55477.0 	0.9919			!5min good beam
7992	Prod	5.389	10.005		2.328	-27.77		Dummy	8.210	39.625	10	4	0	0.638		24.814		0.013		52.025		214430.0	0.9924			!Ended early due to HMS dipole trip
7993	Prod	5.389	10.005		2.328	-27.77		Dummy	8.210	39.883	10	4	0	0.62		24.129		0.012		34.495		142144.0	0.9914			!
7994	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	68.91	12	6	0	2.328		163.454		0.061		98.43		428703.0	0.9847			!72 end early beam down
7995	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	67.542	13	7	0	2.686		188.816		0.069		192.309		535508.0	0.9784			!148
7996	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	68.479	13	7	0	2.942		206.83		0.074		60.322		167360.0	0.9798			!47 beam was off
7997	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	68.915	13	7	0	2.867		201.812		0.073		208.632		581650.0	0.9817			!163
7998	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	66.87	13	7	0	2.909		204.15		0.074		8.828		24485.0		0.9829			!JUNK
7999	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	67.838	12	6	0	2.905		204.235		0.074		183.021		787985.0	0.9796			!138
8000	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	69.377	12	6	0	3.063		215.825		0.078		233.727		1006568.0	0.9812			!176
8001	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	69.898	12	6	0	3.29		231.989		0.083		352.742		1516665.0	0.9836			!264
8002	Prod	5.389	10.005		2.328	-27.77		LH2	8.210	69.067	12	6	0	2.956		208.14		0.075		253.599		1093744.0	0.9848			!201

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment
8003	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.596	12	6	0	2.328		42.599		0.027		180.185		438937.0	0.9884			!89
8004	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	65.933	12	6	0	2.191		39.97		0.026		159.999		391390.0	0.9885			!79
8005	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.837	12	6	0	2.808		51.425		0.03		235.155		564296.0	0.9851			!138
8006	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.413	11	6	0	2.716		49.675		0.03		228.774		649728.0	0.9889			!149
8007	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	67.586	11	6	0	2.746		50.165		0.03		218.061		618703.0	0.9879			!138
8008	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.041	11	6	0	2.514		45.931		0.028		225.288		642942.0	0.985			!123
8009	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	67.495	11	6	0	2.932		53.526		0.031		228.907		647783.0	0.9866			!116
8010	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.946	11	6	0	3.15		57.586		0.033		243.926		687207.0	0.9862			!130
8011	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.411	11	6	0	2.924		53.428		0.031		217.279		614187.0	0.9884			!104
8012	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.743	11	6	0	3.143		57.412		0.033		220.949		623639.0	0.9831			!119
8013	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	68.429	10	6	0	3.058		55.837		0.032		241.701		890188.0	0.9902			!162
8014	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	67.703	10	6	0	2.691		49.1		0.029		193.19		714996.0	0.9852			!110
8015	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	66.532	10	6	0	2.712		49.376		0.029		193.07		714027.0	0.9889			!102
8016	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	69.488	10	6	0	2.838		51.832		0.031		172.213		636749.0	0.984			!99 stopped because beam ended
8017	Prod	5.389	13.010		2.328	-27.77		Dummy	8.210	39.825	8	4	0	0.705		8.286		0.011		136.855		594732.0	0.9901			!
8018	Prod	5.389	13.010		2.328	-27.77		LH2	8.210	65.876	10	6	0	1.79		32.562		0.023		111.1		420955.0	0.9897			!49
