#Plane_2u1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1928
1    -0.06402     0.84734             14972
2    -0.14708     0.53203             57053
3    0.59401     0.35236             67970
4    -1.27791     0.71957             16148
5    0.50000     0.00000             1807
