#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -9.76352     2.84823             2702
1    0.54130     0.97336             18307
2    0.85408     0.40799             43623
3    0.07060     0.34953             60790
4    0.32035     0.55755             28798
5    -2.93235     1.40912             5718
