#Plane_1x1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1074
1    0.12285     0.79528             24969
2    0.07961     0.74195             29742
3    1.26689     0.64256             30938
4    -1.29910     0.42180             32371
5    0.51611     0.47613             31986
6    -0.67993     1.02342             6296
