#Plane_2v2
#Card       tzero  t_zero_err      entries
0    2.74472     3.44172             2850
1    0.57329     0.78395             19848
2    0.31737     0.31131             45022
3    0.22580     0.27114             59568
4    0.95036     0.69463             26351
5    -1.53651     1.85532             5215
