#Plane_2u2
#Card       tzero  t_zero_err      entries
0    3.66509     4.47473             2059
1    -0.23321     0.74471             16494
2    -0.08639     0.42115             61578
3    0.90499     0.45934             63345
4    -0.90178     0.84588             14674
5    0.50000     0.00000             1659
