I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
65.0049,0.21693,607858,0.01,0.267745,0.411885,0.333714,2.89167
51.3766,0.219529,478751,0.01,0.046394,0.0903018,0.427293,6.375
36.858,0.220863,346649,0.01,0.394221,1.06957,0.599228,11.3
18.8417,0.213201,175505,0.01,0.0513781,0.272683,1.13154,14.6167
9.30285,0.21693,88229.8,0.01,0.228012,2.45099,2.33187,17.875
4.63483,0.215666,42830.8,0.01,0.0259675,0.560269,4.65315,21.0833
4.87016,0.219529,43495.1,0.01,-0.138096,-2.83555,4.50762,24.325
64.5916,0.215666,600997,0.01,-0.054966,-0.0850978,0.333891,27.8667
51.595,0.19803,475522,0.01,-0.518283,-1.00452,0.383816,31.4167
37.4361,0.215666,348883,0.01,0.0557245,0.148852,0.57609,35.1667
19.1236,0.220863,176248,0.01,-0.150714,-0.788105,1.15493,38.4333
9.60036,0.212,88583.3,0.01,-0.0315839,-0.328986,2.20825,41.675
4.88819,0.222222,44301.8,0.01,-0.0695913,-1.42366,4.5461,45.7417
Slope, error, Intercept, error
9322.06,25.0547,-617.421,924.743
