I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
42.796,0.256074,395914,0.01,-0.141128,-0.32977,0.598359,5.99167
21.1599,0.23094,195023,0.01,-0.159687,-0.754669,1.09141,11.825
9.59596,0.264906,92566.4,0.01,0.360041,3.752,2.76061,16.4917
5.2255,0.25,46714.5,0.01,-0.212028,-4.05757,4.78423,22.1
2.5589,0.227921,23682.3,0.01,-0.0281442,-1.09986,8.90699,26.6417
1.34031,0.251976,13556.5,0.01,0.0989508,7.38267,18.7998,30.9583
42.1412,0.240772,392545,0.01,0.150412,0.356924,0.571345,35.6083
20.8319,0.264906,194529,0.01,0.115083,0.552436,1.27164,40.0417
9.98928,0.244339,91174.7,0.01,-0.183299,-1.83496,2.44601,44.1417
4.95609,0.25,46793,0.01,0.0658492,1.32865,5.0443,48.1833
2.62947,0.258199,24705.3,0.01,0.0115609,0.439668,9.81942,53.6333
Slope, error, Intercept, error
9277.01,47.671,204.433,991.455
