I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
68.6013,0.201008,382369,0.01,-0.694262,-1.01203,0.293009,3.60833
54.9268,0.212,310569,0.01,0.126159,0.229686,0.385967,7.35833
42.5508,0.215666,243533,0.01,0.501084,1.17761,0.506843,11.1
19.342,0.214423,112401,0.01,0.233946,1.20952,1.10859,14.7417
10.1757,0.21693,59125.8,0.01,-0.137409,-1.35036,2.13184,18.2083
5.17898,0.213201,31653.8,0.01,-0.0588357,-1.13605,4.11666,21.9333
5.46065,0.21693,32070.7,0.01,-0.265865,-4.86874,3.97261,26.9583
68.2567,0.201008,382935,0.01,-0.248318,-0.3638,0.294488,30.6417
55.0597,0.202031,311640,0.01,0.185032,0.336056,0.36693,34.4333
42.7998,0.26968,243896,0.01,0.317078,0.740841,0.630096,37.775
42.6513,0.203069,244404,0.01,0.556375,1.30447,0.476115,58.0583
19.7803,0.20739,113072,0.01,-0.0843501,-0.426434,1.04847,61.7083
10.3782,0.264906,59417.1,0.01,-0.287684,-2.77201,2.55254,65.375
5.22676,0.210819,31802.1,0.01,-0.0800624,-1.53178,4.03344,70.8667
Slope, error, Intercept, error
5585.81,13.6605,3053.62,558.155
