I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
68.8562,0.23094,625408,0.01,0.0219652,0.0319002,0.335395,6.575
56.9194,0.201008,515416,0.01,-0.150841,-0.265008,0.353144,13.1583
43.3929,0.194257,394603,0.01,0.0748288,0.172445,0.44767,18.1
21.5079,0.203069,194736,0.01,-0.0444244,-0.206549,0.944162,23.2417
9.29074,0.19518,86773.9,0.01,0.28662,3.08501,2.1008,28.275
4.46049,0.209657,40345.7,0.01,0.00537203,0.120436,4.70032,33.175
4.62398,0.204124,41578,0.01,-0.0224577,-0.485679,4.41447,37.7333
68.583,0.210819,624755,0.01,0.223281,0.325563,0.307392,43.1333
54.222,0.212,491375,0.01,-0.100185,-0.184769,0.390985,49.0417
38.0598,0.199007,344592,0.01,-0.0980286,-0.257565,0.522881,53.825
20.3499,0.197066,183470,0.01,-0.126772,-0.622961,0.968389,58.525
10.2098,0.201008,92075,0.01,-0.0488381,-0.478344,1.96877,63.1417
4.48383,0.208514,40296.7,0.01,-0.0233606,-0.520998,4.65037,67.5833
Slope, error, Intercept, error
9083.09,22.0606,-218.097,844.106
