I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
65.0049,0.21693,298030,0.01,0.385648,0.593259,0.333714,2.89167
51.3766,0.219529,234834,0.01,0.148715,0.289461,0.427293,6.375
36.858,0.220863,169894,0.01,0.41968,1.13864,0.599228,11.3
18.8417,0.213201,86193.2,0.01,0.0721914,0.383147,1.13154,14.6167
9.30285,0.21693,43434.6,0.01,0.229908,2.47137,2.33187,17.875
4.63483,0.215666,21108.8,0.01,-0.000316092,-0.00681992,4.65315,21.0833
4.87016,0.219529,21422.7,0.01,-0.166776,-3.42444,4.50762,24.325
64.5916,0.215666,293540,0.01,-0.186075,-0.288078,0.333891,27.8667
51.595,0.19803,232377,0.01,-0.608633,-1.17964,0.383816,31.4167
37.4361,0.215666,170771,0.01,0.0339905,0.0907961,0.57609,35.1667
19.1236,0.220863,86613.3,0.01,-0.11746,-0.614217,1.15493,38.4333
9.60036,0.212,43723.8,0.01,-0.00415976,-0.0433292,2.20825,41.675
4.88819,0.222222,21904.7,0.01,-0.0790453,-1.61707,4.5461,45.7417
Slope, error, Intercept, error
4557.92,12.2507,-14.9809,452.153
