I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
42.796,0.256074,483945,0.01,-0.188445,-0.440333,0.598359,5.99167
21.1599,0.23094,365594,0.01,-0.0861529,-0.407152,1.09141,11.825
9.59596,0.264906,305006,0.01,0.453738,4.72843,2.76061,16.4917
5.2255,0.25,277704,0.01,-0.143527,-2.74667,4.78423,22.1
2.5589,0.227921,263535,0.01,-0.0549159,-2.14607,8.90699,26.6417
1.34031,0.251976,256164,0.01,-0.177364,-13.2331,18.7998,30.9583
42.1412,0.240772,481861,0.01,0.0872281,0.20699,0.571345,35.6083
20.8319,0.264906,365232,0.01,0.175936,0.84455,1.27164,40.0417
9.98928,0.244339,304103,0.01,-0.103932,-1.04043,2.44601,44.1417
4.95609,0.25,277714,0.01,0.127733,2.5773,5.0443,48.1833
2.62947,0.258199,264173,0.01,-0.00932253,-0.35454,9.81942,53.6333
Slope, error, Intercept, error
5496.02,28.2443,249773,587.416
