I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
78.6118,0.226455,406584,0.01,0.923496,1.17476,0.288068,3.16667
60.0815,0.226455,306475,0.01,-0.143615,-0.239034,0.376914,10.7333
49.3941,0.209657,254059,0.01,0.282692,0.572319,0.424457,14.5917
42.7138,0.220863,217289,0.01,-0.235078,-0.550357,0.517076,19.75
20.0838,0.251976,101486,0.01,-0.274615,-1.36734,1.25462,24.2083
10.1326,0.20739,51388.1,0.01,-0.130521,-1.28813,2.04677,27.5417
4.96728,0.199007,26339.2,0.01,0.131174,2.64076,4.00637,31.4917
2.38671,0.185695,13645.5,0.01,0.226824,9.50361,7.78038,35.6833
1.03546,0.21693,6628.32,0.01,0.204399,19.74,20.9502,45.7083
79.5644,0.214423,404434,0.01,-0.449995,-0.565574,0.269496,49.6917
59.6223,0.222222,304101,0.01,-0.149106,-0.250085,0.372717,53.675
49.7043,0.235702,252887,0.01,-0.256878,-0.516813,0.474209,58.1833
42.5069,0.223607,216925,0.01,-0.0993484,-0.233723,0.526049,61.85
19.8653,0.226455,101685,0.01,-0.0172368,-0.0867683,1.13995,65.2667
10.2283,0.222222,51342.6,0.01,-0.235149,-2.29901,2.17263,68.5917
4.87723,0.1849,26321.8,0.01,0.217819,4.46605,3.79109,72.275
2.78809,0.213201,13248.5,0.01,-0.252271,-9.04818,7.64684,75.9667
Slope, error, Intercept, error
5108.29,9.86683,294.773,396.643
