I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
48.1299,0.205196,517518,0.01,0.015288,0.031764,0.426337,2.94167
21.6591,0.215666,370171,0.01,-0.0820275,-0.378721,0.995728,7.63333
10.4493,0.20739,309804,0.01,0.242993,2.32545,1.98473,12.0917
5.4336,0.213201,280232,0.01,-0.0734063,-1.35097,3.92375,15.8333
5.65153,0.199007,280108,0.01,-0.313868,-5.55369,3.5213,19.375
48.2922,0.208514,518079,0.01,-0.0459869,-0.0952264,0.431777,23.4833
21.4761,0.194257,369716,0.01,0.0189267,0.0881292,0.904528,32.6833
10.4378,0.294884,310170,0.01,0.320495,3.07051,2.82515,38
5.32286,0.212,280564,0.01,0.0971428,1.82501,3.98282,41.3083
Slope, error, Intercept, error
5546,23.6193,250505,619.358
