I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
68.8562,0.23094,452268,0.01,-0.016492,-0.0239514,0.335395,6.575
56.9194,0.201008,373070,0.01,-0.13246,-0.232716,0.353144,13.1583
43.3929,0.194257,285669,0.01,0.0927614,0.213771,0.44767,18.1
21.5079,0.203069,140941,0.01,-0.0477096,-0.221824,0.944162,23.2417
9.29074,0.19518,62983.5,0.01,0.30542,3.28736,2.1008,28.275
4.46049,0.209657,29167.8,0.01,-0.0105865,-0.237339,4.70032,33.175
4.62398,0.204124,30081.1,0.01,-0.0350952,-0.758982,4.41447,37.7333
68.583,0.210819,452048,0.01,0.223283,0.325566,0.307392,43.1333
54.222,0.212,355569,0.01,-0.0984572,-0.181582,0.390985,49.0417
38.0598,0.199007,249394,0.01,-0.0946943,-0.248804,0.522881,53.825
20.3499,0.197066,132735,0.01,-0.138528,-0.68073,0.968389,58.525
10.2098,0.201008,66819.9,0.01,-0.0298189,-0.292061,1.96877,63.1417
4.48383,0.208514,29165.5,0.01,-0.0342872,-0.764686,4.65037,67.5833
Slope, error, Intercept, error
6570.92,15.9594,-72.0952,610.652
