I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
64.8375,0.196116,363893,0.01,-0.127762,-0.197049,0.302474,5.08333
51.4642,0.240772,289042,0.01,-0.150587,-0.292604,0.467843,19.0417
37.0625,0.193347,210288,0.01,0.15671,0.422827,0.521679,23.075
19.3618,0.194257,110907,0.01,0.0714901,0.369233,1.0033,27.4833
10.2461,0.204124,57791.8,0.01,-0.318779,-3.11123,1.99222,31.3833
4.82549,0.203069,29308.1,0.01,0.00414984,0.0859984,4.20826,35.175
5.0779,0.20739,29292.5,0.01,-0.251063,-4.94423,4.08417,38.9417
64.7876,0.205196,362377,0.01,-0.34925,-0.539068,0.31672,51.175
51.2509,0.203069,290426,0.01,0.310531,0.605903,0.396225,54.975
37.5091,0.196116,213397,0.01,0.266635,0.710855,0.52285,58.6333
19.572,0.205196,113134,0.01,0.259784,1.32733,1.04842,62.225
9.90733,0.210819,58484.4,0.01,0.143928,1.45275,2.12791,65.7833
5.00497,0.209657,29709.1,0.01,-0.103575,-2.06945,4.18898,69.3417
Slope, error, Intercept, error
5587.59,14.4321,2322.09,528.581
