I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
42.796,0.256074,215821,0.01,-0.174505,-0.40776,0.598359,5.99167
21.1599,0.23094,106477,0.01,-0.145622,-0.688198,1.09141,11.825
9.59596,0.264906,50749.1,0.01,0.406091,4.2319,2.76061,16.4917
5.2255,0.25,25849.1,0.01,-0.143892,-2.75365,4.78423,22.1
2.5589,0.227921,12934.1,0.01,-0.0293953,-1.14875,8.90699,26.6417
1.34031,0.251976,6298.32,0.01,-0.122077,-9.10814,18.7998,30.9583
42.1412,0.240772,214077,0.01,0.135569,0.321701,0.571345,35.6083
20.8319,0.264906,106228,0.01,0.133305,0.63991,1.27164,40.0417
9.98928,0.244339,50014.2,0.01,-0.132451,-1.32593,2.44601,44.1417
4.95609,0.25,25889.3,0.01,0.13347,2.69306,5.0443,48.1833
2.62947,0.258199,13521.7,0.01,0.0161611,0.614613,9.81942,53.6333
Slope, error, Intercept, error
5060.53,26.0043,133.41,540.833
