I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
68.8562,0.23094,313667,0.01,-0.08995,-0.130635,0.335395,6.575
56.9194,0.201008,259125,0.01,-0.113993,-0.200271,0.353144,13.1583
43.3929,0.194257,198525,0.01,0.122927,0.283289,0.44767,18.1
21.5079,0.203069,98057.1,0.01,-0.0245325,-0.114063,0.944162,23.2417
9.29074,0.19518,43796,0.01,0.293209,3.15593,2.1008,28.275
4.46049,0.209657,20335.8,0.01,-0.0213245,-0.478075,4.70032,33.175
4.62398,0.204124,20999.8,0.01,-0.0392034,-0.847828,4.41447,37.7333
68.583,0.210819,313901,0.01,0.234501,0.341923,0.307392,43.1333
54.222,0.212,246995,0.01,-0.0767617,-0.141569,0.390985,49.0417
38.0598,0.199007,173132,0.01,-0.112725,-0.296178,0.522881,53.825
20.3499,0.197066,92277.7,0.01,-0.133948,-0.658225,0.968389,58.525
10.2098,0.201008,46477.4,0.01,-0.0378443,-0.370666,1.96877,63.1417
4.48383,0.208514,20388.4,0.01,-0.0331181,-0.738612,4.65037,67.5833
Slope, error, Intercept, error
4559.99,11.0753,93.2065,423.771
