I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
48.1299,0.205196,456872,0.01,0.0196332,0.0407922,0.426337,2.94167
21.6591,0.215666,204543,0.01,-0.147248,-0.679845,0.995728,7.63333
10.4493,0.20739,101842,0.01,0.220648,2.11161,1.98473,12.0917
5.4336,0.213201,51857.7,0.01,-0.0404009,-0.743539,3.92375,15.8333
5.65153,0.199007,51657.4,0.01,-0.279484,-4.94528,3.5213,19.375
48.2922,0.208514,458148,0.01,-0.00794616,-0.0164543,0.431777,23.4833
21.4761,0.194257,204051,0.01,-0.0161818,-0.0753482,0.904528,32.6833
10.4378,0.294884,102478,0.01,0.299212,2.86661,2.82515,38
5.32286,0.212,52333.9,0.01,0.120608,2.26586,3.98282,41.3083
Slope, error, Intercept, error
9472.62,40.342,770.026,1057.87
