I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
78.6118,0.226455,999772,0.01,-24.945,-31.7319,0.288068,3.16667
60.0815,0.226455,999786,0.01,-6.41382,-10.6752,0.376914,10.7333
49.3941,0.209657,999792,0.01,4.27388,8.65261,0.424457,14.5917
42.7138,0.220863,999800,0.01,10.9547,25.6467,0.517076,19.75
20.0838,0.251976,795129,0.01,21.0157,104.64,1.25462,24.2083
10.1326,0.20739,400700,0.01,6.74467,66.5643,2.04677,27.5417
4.96728,0.199007,201509,0.01,-0.322526,-6.49301,4.00637,31.4917
2.38671,0.185695,100786,0.01,-3.92745,-164.555,7.78038,35.6833
1.03546,0.21693,45086.6,0.01,-5.99676,-579.141,20.9502,45.7083
79.5644,0.214423,999778,0.01,-25.8972,-32.5487,0.269496,49.6917
59.6223,0.222222,999792,0.01,-5.95421,-9.98656,0.372717,53.675
49.7043,0.235702,999802,0.01,3.96437,7.97591,0.474209,58.1833
42.5069,0.223607,999806,0.01,11.162,26.2593,0.526049,61.85
19.8653,0.226455,795447,0.01,21.2537,106.989,1.13995,65.2667
10.2283,0.222222,399458,0.01,6.57273,64.2604,2.17263,68.5917
4.87723,0.1849,201104,0.01,-0.257377,-5.27712,3.79109,72.275
2.78809,0.213201,97683.6,0.01,-4.51936,-162.095,7.64684,75.9667
Slope, error, Intercept, error
16283.7,35.1073,125875,1346.62
