I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
4.90028,0.197066,45184.1,0.01,-0.271782,-5.54627,4.02152,3.35833
10.8657,0.213201,99891.7,0.01,-0.371994,-3.42357,1.96214,7.46667
14.2836,0.202031,134159,0.01,-0.116071,-0.812612,1.41442,14.3167
19.1144,0.191565,180244,0.01,-0.00604179,-0.0316086,1.00221,20.2583
4.53736,0.19518,46887,0.01,0.273701,6.03216,4.30162,24.3083
9.64322,0.226455,95286,0.01,0.356711,3.69908,2.34834,28.2
14.0602,0.197066,134625,0.01,0.157265,1.11852,1.40159,32.7583
Slope, error, Intercept, error
9327.47,140.974,2011.9,1725.03
