I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
78.6118,0.226455,445954,0.01,0.128491,0.16345,0.288068,3.16667
60.0815,0.226455,340366,0.01,-0.100545,-0.167347,0.376914,10.7333
49.3941,0.209657,284306,0.01,0.626735,1.26885,0.424457,14.5917
42.7138,0.220863,244440,0.01,0.22417,0.524819,0.517076,19.75
20.0838,0.251976,115508,0.01,-0.0525164,-0.261486,1.25462,24.2083
10.1326,0.20739,59117.4,0.01,-0.119965,-1.18396,2.04677,27.5417
4.96728,0.199007,30729.2,0.01,0.00170452,0.0343151,4.00637,31.4917
2.38671,0.185695,16377.1,0.01,0.0323836,1.35683,7.78038,35.6833
1.03546,0.21693,8351.34,0.01,-0.0422597,-4.08126,20.9502,45.7083
79.5644,0.214423,444893,0.01,-1.01276,-1.27288,0.269496,49.6917
59.6223,0.222222,339534,0.01,0.210704,0.353399,0.372717,53.675
49.7043,0.235702,284069,0.01,0.274537,0.552341,0.474209,58.1833
42.5069,0.223607,243913,0.01,0.337519,0.794034,0.526049,61.85
19.8653,0.226455,115331,0.01,0.134509,0.677105,1.13995,65.2667
10.2283,0.222222,58939,0.01,-0.247376,-2.41855,2.17263,68.5917
4.87723,0.1849,30679.2,0.01,0.0828752,1.69923,3.79109,72.275
2.78809,0.213201,15937.2,0.01,-0.447146,-16.0377,7.64684,75.9667
Slope, error, Intercept, error
5628.55,10.872,2761.08,437.045
