I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
78.6118,0.226455,746065,0.01,0.870799,1.10772,0.288068,3.16667
60.0815,0.226455,562199,0.01,-0.190906,-0.317745,0.376914,10.7333
49.3941,0.209657,466221,0.01,0.269444,0.545497,0.424457,14.5917
42.7138,0.220863,398937,0.01,-0.219772,-0.514522,0.517076,19.75
20.0838,0.251976,186076,0.01,-0.271267,-1.35067,1.25462,24.2083
10.1326,0.20739,93723.9,0.01,-0.160669,-1.58567,2.04677,27.5417
4.96728,0.199007,47437,0.01,0.0724847,1.45924,4.00637,31.4917
2.38671,0.185695,24689.9,0.01,0.229221,9.60403,7.78038,35.6833
1.03546,0.21693,13724.4,0.01,0.412038,39.7928,20.9502,45.7083
79.5644,0.214423,742858,0.01,-0.423524,-0.532304,0.269496,49.6917
59.6223,0.222222,559019,0.01,-0.0704949,-0.118236,0.372717,53.675
49.7043,0.235702,464659,0.01,-0.20716,-0.416784,0.474209,58.1833
42.5069,0.223607,398033,0.01,-0.10912,-0.256711,0.526049,61.85
19.8653,0.226455,186134,0.01,-0.046548,-0.234318,1.13995,65.2667
10.2283,0.222222,93477.9,0.01,-0.282587,-2.7628,2.17263,68.5917
4.87723,0.1849,47369.2,0.01,0.155309,3.18437,3.79109,72.275
2.78809,0.213201,23972.3,0.01,-0.248617,-8.91711,7.64684,75.9667
Slope, error, Intercept, error
9384.76,18.1276,140.006,728.71
