I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
48.1299,0.205196,277595,0.01,-0.0104188,-0.0216472,0.426337,2.94167
21.6591,0.215666,125909,0.01,-0.0735923,-0.339776,0.995728,7.63333
10.4493,0.20739,63615.2,0.01,0.239294,2.29005,1.98473,12.0917
5.4336,0.213201,33075.1,0.01,-0.0873097,-1.60685,3.92375,15.8333
5.65153,0.199007,32957.1,0.01,-0.325887,-5.76634,3.5213,19.375
48.2922,0.208514,278363,0.01,-0.0383656,-0.0794446,0.431777,23.4833
21.4761,0.194257,125595,0.01,0.0544321,0.253455,0.904528,32.6833
10.4378,0.294884,64084.6,0.01,0.332879,3.18916,2.82515,38
5.32286,0.212,33462.1,0.01,0.0911221,1.7119,3.98282,41.3083
Slope, error, Intercept, error
5716.65,24.3462,2512.24,638.417
