I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
68.6013,0.201008,454943,0.01,-0.432394,-0.630301,0.293009,3.60833
54.9268,0.212,366585,0.01,0.00117904,0.00214656,0.385967,7.35833
42.5508,0.215666,285772,0.01,0.266722,0.626833,0.506843,11.1
19.342,0.214423,130205,0.01,0.162767,0.841519,1.10859,14.7417
10.1757,0.21693,67431.4,0.01,-0.0779895,-0.766427,2.13184,18.2083
5.17898,0.213201,34921.5,0.01,0.0469333,0.906227,4.11666,21.9333
5.46065,0.21693,35423.7,0.01,-0.159471,-2.92036,3.97261,26.9583
68.2567,0.201008,455741,0.01,0.0318923,0.046724,0.294488,30.6417
55.0597,0.202031,367950,0.01,0.0727106,0.132058,0.36693,34.4333
42.7998,0.26968,286298,0.01,0.0965686,0.225629,0.630096,37.775
42.6513,0.203069,286810,0.01,0.321721,0.754306,0.476115,58.0583
19.7803,0.20739,130991,0.01,-0.157795,-0.797737,1.04847,61.7083
10.3782,0.264906,67792,0.01,-0.226383,-2.18134,2.55254,65.375
5.22676,0.210819,35107.7,0.01,0.0270564,0.517651,4.03344,70.8667
Slope, error, Intercept, error
6673.04,16.3181,48.711,666.769
