I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
40.3727,0.188982,229536,0.01,0.025759,0.063803,0.468094,4.75
20.8663,0.215666,119140,0.01,-0.0350119,-0.167792,1.03356,9.28333
10.1891,0.209657,59475.7,0.01,0.0668737,0.656327,2.05766,12.7083
5.28382,0.191565,31669.4,0.01,0.0435883,0.82494,3.62551,16.3083
5.24873,0.214423,31562.6,0.01,0.0597516,1.1384,4.08523,19.7917
40.3634,0.209657,229415,0.01,0.0136249,0.0337557,0.519424,23.4583
20.7804,0.204124,118770,0.01,-0.0147853,-0.07115,0.982292,27.2833
10.3929,0.2,59022,0.01,-0.217323,-2.09108,1.9244,30.8
5.15985,0.227921,31164.2,0.01,0.0780231,1.51212,4.4172,35.275
Slope, error, Intercept, error
5641.89,28.3148,1612.76,642.719
