I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
48.1299,0.205196,999815,0.01,-10.0251,-20.8293,0.426337,2.94167
21.6591,0.215666,878132,0.01,11.0189,50.8741,0.995728,7.63333
10.4493,0.20739,436507,0.01,2.53286,24.2395,1.98473,12.0917
5.4336,0.213201,219991,0.01,-2.1077,-38.7901,3.92375,15.8333
5.65153,0.199007,219127,0.01,-2.36416,-41.8322,3.5213,19.375
48.2922,0.208514,999814,0.01,-10.1875,-21.0955,0.431777,23.4833
21.4761,0.194257,875962,0.01,11.1051,51.7091,0.904528,32.6833
10.4378,0.294884,439263,0.01,2.66728,25.554,2.82515,38
5.32286,0.212,222162,0.01,-1.90016,-35.6982,3.98282,41.3083
Slope, error, Intercept, error
22422.3,106.876,145417,2685.47
