I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
65.0049,0.21693,617900,0.01,-0.0112502,-0.0173068,0.333714,2.89167
51.3766,0.219529,541812,0.01,0.0745067,0.145021,0.427293,6.375
36.858,0.220863,462502,0.01,0.477,1.29416,0.599228,11.3
18.8417,0.213201,358987,0.01,0.0691135,0.366811,1.13154,14.6167
9.30285,0.21693,306161,0.01,0.205588,2.20995,2.33187,17.875
4.63483,0.215666,278584,0.01,-0.034673,-0.748096,4.65315,21.0833
4.87016,0.219529,279008,0.01,-0.194556,-3.99486,4.50762,24.325
64.5916,0.215666,614802,0.01,-0.149312,-0.231164,0.333891,27.8667
51.595,0.19803,540971,0.01,-0.293565,-0.56898,0.383816,31.4167
37.4361,0.215666,464330,0.01,0.224315,0.599194,0.57609,35.1667
19.1236,0.220863,359578,0.01,-0.107543,-0.562357,1.15493,38.4333
9.60036,0.212,306344,0.01,-0.0593989,-0.618716,2.20825,41.675
4.88819,0.222222,279428,0.01,-0.137909,-2.82127,4.5461,45.7417
Slope, error, Intercept, error
5618.41,15.1019,252739,557.4
