I_unser, I_Unser_error, BCM ave rate, BCM ave rate error, fit Residual, residual error, time (min)
40.3727,0.188982,187506,0.01,0.0282685,0.0700188,0.468094,4.75
20.8663,0.215666,96402.1,0.01,-0.0531581,-0.254756,1.03356,9.28333
10.1891,0.209657,47358.4,0.01,0.0793392,0.778668,2.05766,12.7083
5.28382,0.191565,24341.4,0.01,0.0358088,0.677707,3.62551,16.3083
5.24873,0.214423,24254,0.01,0.0521278,0.993151,4.08523,19.7917
40.3634,0.209657,187396,0.01,0.0140654,0.0348471,0.519424,23.4583
20.7804,0.204124,96178.3,0.01,-0.0153974,-0.0740959,0.982292,27.2833
10.3929,0.2,47006.5,0.01,-0.200091,-1.92527,1.9244,30.8
5.15985,0.227921,23958,0.01,0.0773549,1.49917,4.4172,35.275
Slope, error, Intercept, error
4651.03,23.342,-400.41,529.841
