#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -39.50000     0.00000             747
1    -39.50000     0.00000             1560
2    0.39322     0.76870             6664
3    0.14597     0.65086             19023
4    -0.43911     0.43159             23016
