#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             154
1    -29.50000     0.00000             826
2    -8.59853     2.35036             3106
3    0.53609     0.99613             13561
4    1.08000     0.76687             17411
5    -0.11423     0.73203             14327
6    13.89827     3.80754             5197
