#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             292
1    -29.50000     0.00000             1163
2    1.49392     0.97929             12245
3    3.55741     1.17877             23544
4    0.63274     0.79640             11160
5    -3.09311     2.32028             5376
6    -9.50000     0.00000             898
