#Plane_1u2
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             106
1    -25.50000     0.00000             528
2    -0.25363     1.19628             7147
3    -0.92458     0.73243             24170
4    2.72097     1.18792             12733
5    3.34864     2.39697             5114
6    0.50000     0.00000             895
