#Plane_1u1
#Card       tzero  t_zero_err      entries
0    4.79121     5.26085             2957
1    2.46575     0.74270             46721
2    1.40617     0.30571             132749
3    0.98993     0.17698             191730
4    1.33017     0.32696             88670
5    -3.66009     1.18986             12384
