#Plane_2x1
#Card       tzero  t_zero_err      entries
0    0.49930     1.19123             15078
1    2.91072     0.57076             73190
2    2.22538     0.35373             74857
3    1.48777     0.34571             82306
4    0.41668     0.31035             89813
5    0.99539     0.33161             92463
6    0.31969     0.40994             40770
