#Plane_2v2
#Card       tzero  t_zero_err      entries
0    2.13820     2.50732             8155
1    0.44322     0.50581             55388
2    1.14400     0.25047             129098
3    0.71282     0.20586             179719
4    0.89719     0.44536             84145
5    -0.56171     0.60394             16048
