#Plane_1x1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1728
1    0.86218     0.48994             68829
2    1.95091     0.50481             86722
3    1.48808     0.49140             90539
4    0.61132     0.35749             98571
5    0.85191     0.35422             97352
6    1.29543     0.65256             24157
