#Plane_2u2
#Card       tzero  t_zero_err      entries
0    0.83589     2.86506             5964
1    0.76703     0.59057             44550
2    1.00232     0.20752             172051
3    1.82802     0.23369             203337
4    1.37379     0.62637             45116
5    0.81859     1.26786             4021
