#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -0.32701     1.05660             7562
1    1.75205     0.52012             50799
2    1.76146     0.33305             124967
3    1.03590     0.19367             182876
4    0.54843     0.28733             91561
5    2.43904     0.96008             17416
