#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -49.50000     0.00000             1295
1    -45.44478     7.65697             7271
2    0.24380     0.34375             72403
3    0.72692     0.25835             185147
4    -1.13470     0.25127             100781
5    3.44376     0.67625             47740
6    6.16708     1.89725             11024
