#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -49.50000     0.00000             1710
1    -29.89740     3.87878             7873
2    0.18264     0.52296             30542
3    0.28968     0.42960             105816
4    1.66182     0.44935             136513
5    -0.43026     0.30681             109885
6    -2.53098     0.45359             29198
