#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -49.50000     0.00000             7262
1    -46.60046     7.29793             11413
2    -0.24155     0.30526             50838
3    0.03129     0.24899             154446
4    1.07461     0.23310             183972
