#Plane_2v2
#Card       tzero  t_zero_err      entries
0    40.50000     0.00000             19
1    0.50000     0.00000             101
2    14.50000     0.00000             436
3    10.50000     0.00000             927
4    10.50000     0.00000             555
5    20.50000     0.00000             296
6    40.50000     0.00000             58
