Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
4870,4870,4.008,0.250,2,6,44.694,44.760,45.242,0.119
4880,4880,4.008,0.250,2,6,44.420,44.623,44.986,0.119
4881,4881,4.008,0.250,2,6,44.212,45.943,44.719,0.119
4910,4910,4.008,0.250,2,6,44.507,44.810,44.965,-1.000
4911,4911,4.008,0.250,2,6,44.403,44.885,44.795,-1.000
4912,4912,4.008,0.250,2,6,44.521,44.875,44.918,-1.000
4913,4913,4.008,0.250,2,6,44.420,44.624,44.739,-1.000
4940,4940,4.008,0.250,2,6,44.338,44.567,44.688,0.119
4941,4941,4.008,0.250,2,6,44.407,44.601,44.782,0.119
4942,4942,4.008,0.250,2,6,44.402,44.623,44.840,0.119
4978,4978,4.008,0.250,2,6,44.287,44.502,44.697,0.125
4979,4979,4.008,0.250,2,6,44.347,44.238,45.125,0.125
4981,4981,4.008,0.250,2,6,44.337,44.878,44.799,0.125
5011,5011,4.008,0.250,2,6,44.331,44.850,44.854,-0.097
5012,5012,4.008,0.250,2,6,44.289,44.869,44.542,-0.097
5029,5029,4.008,0.250,2,6,44.182,44.625,44.306,-0.040
5030,5030,4.008,0.250,2,6,44.160,44.605,44.645,-0.040
5067,5067,4.008,0.250,2,6,44.142,44.317,44.384,-1.250
5107,5107,4.008,0.250,2,6,44.025,44.125,43.963,-1.290
5108,5108,4.008,0.250,2,6,44.110,44.323,44.371,-1.290
5109,5109,4.008,0.250,2,6,44.128,44.320,44.437,-1.290
5125,5125,4.008,0.250,2,6,44.048,44.178,43.647,-1.290
5126,5126,4.008,0.250,2,6,44.088,44.368,44.875,-1.290
5234,5234,4.008,0.250,2,6,44.154,44.709,44.333,-1.290
5235,5235,4.008,0.250,2,6,43.969,44.268,44.375,-1.290
5249,5249,4.008,0.250,2,6,44.274,44.305,44.798,0.680
5250,5250,4.008,0.250,2,6,44.117,44.602,44.054,0.680
6699,6699,2.004,0.250,2,6,47.936,46.938,48.438,-0.348
6700,6700,2.004,0.250,2,6,47.919,46.925,48.421,-0.348
6701,6701,2.004,0.250,2,6,47.901,46.902,48.420,-0.348
6702,6702,2.004,0.250,2,6,47.984,46.984,48.547,-0.348
6703,6703,2.004,0.250,2,6,47.920,46.921,48.428,-0.348
6732,6732,2.004,0.250,2,6,47.995,46.972,48.487,-0.320
6733,6733,2.004,0.250,2,6,47.995,46.968,48.476,-0.320
6734,6734,2.004,0.250,2,6,48.012,46.974,48.488,-0.320
6758,6758,2.004,0.250,2,6,48.008,46.995,48.509,-0.320
6759,6759,2.004,0.250,2,6,48.004,46.994,48.507,-0.320
6901,6901,2.004,0.250,2,6,47.989,46.960,48.451,-1.320
6902,6902,2.004,0.250,2,6,47.979,46.959,48.457,-1.320
6903,6903,2.004,0.250,2,6,47.983,46.958,48.458,-1.320
6932,6932,2.004,0.250,2,6,47.989,46.953,48.454,-1.320
6933,6933,2.004,0.250,2,6,47.987,46.953,48.454,-1.320
6999,6999,2.004,0.250,2,6,47.967,46.947,48.440,-1.340
7000,7000,2.004,0.250,2,6,47.967,46.941,48.438,-1.340
7001,7001,2.004,0.250,2,6,47.966,46.941,48.435,-1.340
7848,7848,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7849,7849,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7852,7852,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7853,7853,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7854,7854,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7856,7856,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7857,7857,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7860,7860,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7861,7861,4.008,0.250,2,6,-59.875,-59.875,-59.875,1.232
7990,7990,4.008,0.250,2,6,43.774,44.055,43.953,2.050
7991,7991,4.008,0.250,2,6,43.798,43.125,43.376,2.050
7992,7992,4.008,0.250,2,6,43.787,44.125,43.932,2.050
7993,7993,4.008,0.250,2,6,43.779,43.993,43.872,2.050
8017,8017,4.008,0.250,2,6,43.787,43.978,43.923,0.061
8085,8085,4.008,0.250,2,6,43.774,43.840,43.820,-1.950
8086,8086,4.008,0.250,2,6,43.760,43.792,43.845,-1.950
8087,8087,4.008,0.250,2,6,43.782,43.813,43.826,-1.950
8161,8161,4.008,0.250,2,6,43.682,43.586,43.856,-1.950
8162,8162,4.008,0.250,2,6,43.804,43.932,43.817,-1.950
8163,8163,4.008,0.250,2,6,43.786,43.870,43.898,-1.950
8164,8164,4.008,0.250,2,6,43.806,43.907,43.811,-1.950
8209,8209,4.008,0.250,2,6,43.899,43.877,43.694,0.050
8210,8210,4.008,0.250,2,6,43.772,43.930,43.617,0.050
8211,8211,4.008,0.250,2,6,43.758,43.930,24.125,0.050
8314,8314,4.008,0.250,2,6,43.864,44.347,-59.875,0.030
8315,8315,4.008,0.250,2,6,43.805,43.929,3.625,0.030
8316,8316,4.008,0.250,2,6,43.759,43.879,43.751,0.030
8317,8317,4.008,0.250,2,6,43.753,43.736,3.625,0.030
8508,8508,4.008,0.250,2,6,43.909,42.675,44.528,-1.990
8519,8519,4.008,0.250,2,6,44.093,42.758,44.602,-1.990
8529,8529,4.008,0.250,2,6,43.865,42.742,44.535,-1.990
8542,8542,4.008,0.250,2,6,43.883,42.676,44.585,-1.990
