#Plane_2x1
#Card       tzero  t_zero_err      entries
0    0.39822     0.13873             234741
1    0.30009     0.15762             240885
2    0.23051     0.14715             219536
3    0.39237     0.13903             245466
4    -0.42513     0.18955             156248
