#Plane_1u2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             432
1    3.52368     1.12616             15251
2    1.16056     0.32151             151430
3    0.58407     0.11638             738439
4    0.69918     0.23647             153295
5    0.10327     0.41361             31549
6    9.43396     5.37109             2031
