#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -49.50000     0.00000             851
1    -0.12416     0.75337             20624
2    0.84038     0.21756             175822
3    -0.26062     0.08664             717693
4    0.53889     0.29340             143116
5    -0.04343     0.37499             42563
6    2.88099     1.54434             5209
